"STATION","STATION_NAME","ELEVATION","LATITUDE","LONGITUDE"
"COOP:460094","ALBRIGHT WV US","371.6","39.47889","-79.6275"
"COOP:460102","ALDERSON WV US","469.4","37.7272","-80.6592"
"COOP:460202","ANSTEAD HAWKS NEST STATE PARK WV US","395","38.1208","-81.1167"
"COOP:460355","ATHENS WV US","760.5","37.4225","-81.02556"
"COOP:460370","AUBURN WV US","281.9","39.09306","-80.85"
"COOP:460509","BARTOW 1 S WV US","922","38.5312","-79.7714"
"COOP:460527","BAYARD WV US","735.2","39.27278","-79.36833"
"COOP:460582","BECKLEY RALEIGH CO AIRPORT WV US","766.3","37.7836","-81.123"
"COOP:460580","BECKLEY VA HOSPITAL WV US","710.2","37.7647","-81.194"
"COOP:460633","BELINGTON WV US","539.2","39.023","-79.933"
"COOP:460712","BERKELEY SPRINGS 3 S WV US","285","39.57194","-78.25028"
"COOP:460842","BIRCH RIVER 3 WSW WV US","454.2","38.49194","-80.80222"
"COOP:460843","BIRCH RIVER 4 SW WV US","655.3","38.45694","-80.79306"
"COOP:460921","BLUEFIELD MERCER CO AIRPORT WV US","874.8","37.2958","-81.2077"
"COOP:460925","BLUEFIELD WV US","874.8","37.2555","-81.2263"
"COOP:460939","BLUESTONE LAKE WV US","423.7","37.6411","-80.8831"
"COOP:461075","BRANCHLAND 1 N WV US","182.9","38.2336","-82.203"
"COOP:461215","BUCKEYE WV US","655.3","38.18306","-80.13306"
"COOP:461220","BUCKHANNON WV US","443.5","38.98","-80.22056"
"COOP:461231","BUFFALO WV US","176.8","38.60833","-81.98472"
"COOP:461282","BURNSVILLE LAKE WV US","239.3","38.845","-80.62"
"COOP:461290","BURTON WV US","378","39.64639","-80.40639"
"COOP:461324","CACAPON STATE PARK 2 WV US","289.6","39.50639","-78.31583"
"COOP:461330","CAIRO WV US","213.4","39.2","-81.15"
"COOP:461363","CAMDEN ON GAULEY 2 SW WV US","655.3","38.35","-80.61667"
"COOP:461397","CANAAN VALLEY NUMBER 2 WV US","987.6","39.05","-79.45"
"COOP:461393","CANAAN VALLEY WV US","990.3","39.05","-79.41667"
"COOP:461579","CHARLESTON WSFO WV US","279.8","38.3138","-81.7186"
"COOP:461570","CHARLESTON YEAGER AIRPORT WV US","277.4","38.3794","-81.59"
"COOP:461588","CHARLES TOWN 2 SE WV US","158.5","39.28333","-77.85"
"COOP:461591","CHEAT BRIDGE WV US","unknown","unknown","unknown"
"COOP:461677","CLARKSBURG 1 WV US","301.8","39.2667","-80.35"
"COOP:461696","CLAY WV US","222.5","38.4598","-81.0849"
"COOP:461723","CLENDENIN WV US","213.4","38.49333","-81.34833"
"COOP:461900","COOPERS ROCK STATE FOREST WV US","694.9","39.67722","-79.77194"
"COOP:461959","CORTON WV US","195.1","38.48333","-81.26667"
"COOP:462054","CRESTON WV US","198.1","38.94611","-81.27278"
"COOP:462151","DAILEY 1 SE WV US","609.6","38.7825","-79.8911"
"COOP:462211","DAVIS 3 SE WV US","1132.3","39.098","-79.4322"
"COOP:462462","DRY CREEK WV US","385.3","37.8594","-81.465"
"COOP:462522","DUNLOW 1 SW WV US","365.8","37.9494","-82.4044"
"COOP:462622","EAST LYNN LAKE WV US","201.8","38.1436","-82.3828"
"COOP:462697","ELIZABETH WV US","191.7","39.06639","-81.40361"
"COOP:462709","ELKHORN WV US","585.2","37.38333","-81.4"
"COOP:462718","ELKINS RANDOLPH CO AIRPORT WV US","593.8","38.88528","-79.85278"
"COOP:462716","ELKINS WV US","596.8","38.9244","-79.8611"
"COOP:462920","FAIRMONT WV US","396.2","39.46667","-80.13333"
"COOP:463072","FLAT TOP WV US","1016.5","37.58333","-81.1"
"COOP:463215","FRANKLIN 2 NE WV US","579.1","38.66667","-79.31667"
"COOP:463251","FROST 3 NE WV US","890.3","38.2894","-79.8186"
"COOP:463361","GASSAWAY WV US","256","38.665","-80.7677"
"COOP:463464","GLADY 1 N WV US","865.6","38.8072","-79.7172"
"COOP:463544","GLENVILLE WV US","216.4","38.93389","-80.8325"
"COOP:463627","GRAFTON WV US","unknown","unknown","unknown"
"COOP:463648","GRANTSVILLE 1 ESE WV US","217.3","38.9099","-81.0844"
"COOP:463675","GREGORY WV US","unknown","unknown","unknown"
"COOP:463798","HACKER VALLEY WV US","484.6","38.61889","-80.38361"
"COOP:463846","HAMLIN WV US","207.3","38.2794","-82.1114"
"COOP:463940","HARRISVILLE WV US","254.5","39.21889","-81.04861"
"COOP:464128","HICO WV US","713.2","38.1","-81"
"COOP:464200","HOGSETT R.C. BYRD DAM WV US","173.7","38.68306","-82.18611"
"COOP:464372","HUNDRED 1 N WV US","320","39.7","-80.45"
"COOP:464397","HUNTINGTON SWG PLANT WV US","158.5","38.4014","-82.5266"
"COOP:464393","HUNTINGTON TRI STATE AIRPORT WV US","251.2","38.365","-82.555"
"COOP:464408","IAEGER 1 SW WV US","326.1","37.4502","-81.8236"
"COOP:464763","KEARNEYSVILLE WV US","167.6","39.38333","-77.88333"
"COOP:464840","KEYSER 2 SSW WV US","274.3","39.42056","-79.005"
"COOP:464971","KUMBRABOW WV US","981.5","38.6311","-80.0856"
"COOP:465002","LAKE LYNN WV US","274.3","39.72","-79.8561"
"COOP:465051","LESAGE 5 N WV US","175.3","38.56972","-82.28778"
"COOP:465224","LEWISBURG 3 N WV US","701","37.8564","-80.4041"
"COOP:465353","LOGAN WV US","192.6","37.8716","-81.9947"
"COOP:465365","LONDON LOCKS WV US","189","38.1947","-81.3706"
"COOP:465453","LOST RIVER WV US","515.1","38.9452","-78.798"
"COOP:465563","MADISON 3 NNW WV US","216.4","38.1025","-81.84639"
"COOP:465626","MANNINGTON 8 WNW WV US","335.3","39.5436","-80.4647"
"COOP:465600","MAN WV US","223.1","37.7447","-81.8873"
"COOP:465672","MARLINTON WV US","655.3","38.2175","-80.09139"
"COOP:465706","MARTINSBURG 2 WV US","164.6","39.4658","-77.9669"
"COOP:465707","MARTINSBURG EASTERN WEST VIRGINIA REGIONAL AIRPORT WV US","162.8","39.4019","-77.9844"
"COOP:465739","MATHIAS WV US","469.4","38.87222","-78.86167"
"COOP:465875","MCROSS 3 E WV US","975.4","37.99","-80.6803"
"COOP:465963","MIDDLEBOURNE 3 ESE WV US","221.9","39.4666","-80.8411"
"COOP:466163","MOOREFIELD 1 SSE WV US","271.3","39.0461","-78.9664"
"COOP:466202","MORGANTOWN HART FIELD WV US","378","39.64278","-79.91639"
"COOP:466212","MORGANTOWN LOCK AND DAM WV US","251.5","39.6167","-79.9667"
"COOP:466248","MOUNDSVILLE WV US","189","39.905","-80.74389"
"COOP:466284","MOUNT NEBO 1 S WV US","594.4","38.1879","-80.8484"
"COOP:466325","MULLENS 3 E WV US","429.8","37.58389","-81.38194"
"COOP:466591","OAK HILL WV US","621.8","37.97139","-81.15083"
"COOP:466600","OCEANA 2 SE WV US","378","37.6761","-81.6213"
"COOP:466849","PARKERSBURG WOOD CO AIRPORT WV US","253.3","39.2","-81.27"
"COOP:466859","PARKERSBURG WV US","189","39.2811","-81.5572"
"COOP:466867","PARSONS 1 NE WV US","541","39.0736","-79.634"
"COOP:466900","PAYNESVILLE 1 N VA US","608.1","37.35","-81.88333"
"COOP:466912","PEA RIDGE PSD WV US","174.7","38.4197","-82.2986"
"COOP:466952","PETERSBURG WV US","295","38.9911","-79.1752"
"COOP:466982","PHILIPPI WV US","396.2","39.1461","-80.0411"
"COOP:466989","PICKENS 2 N WV US","877.8","38.66667","-80.2"
"COOP:467018","PIKE ISLAND LOCK AND DAM WV US","195.1","40.14778","-80.70139"
"COOP:467029","PINEVILLE WV US","390.1","37.5741","-81.5355"
"COOP:467207","PRINCETON WV US","722.4","37.3842","-81.0822"
"COOP:467287","RACINE LOCK AND DAM WV US","177.1","38.9188","-81.9113"
"COOP:467342","RANSON 4 NW WV US","170.7","39.3247","-77.9202"
"COOP:467372","R.D. BAILEY LAKE WV US","426.7","37.5947","-81.8208"
"COOP:467455","RENICK 3 WV US","634","37.9914","-80.3644"
"COOP:467513","RICHWOOD 1 SSE WV US","941.8","38.18333","-80.51667"
"COOP:467552","RIPLEY WV US","179.8","38.8172","-81.7119"
"COOP:467649","ROCK CAVE 2 NE WV US","531.6","38.85722","-80.31472"
"COOP:467730","ROMNEY 1 SW WV US","219.5","39.33889","-78.77278"
"COOP:467743","ROSEDALE 3 NNW WV US","228.6","38.77778","-80.96361"
"COOP:467785","ROWLESBURG 1 WV US","433.7","39.33333","-79.68333"
"COOP:467852","SAINT ALBANS WV US","196.9","38.38306","-81.83417"
"COOP:467918","SANDYVILLE 9 NE WV US","195.1","38.9817","-81.5659"
"COOP:468051","SENECA STATE FOREST WV US","746.8","38.33333","-79.91667"
"COOP:468191","SISSONVILLE 1 SW WV US","187.5","38.51667","-81.64528"
"COOP:468308","SNOWSHOE WV US","1452.4","38.4122","-79.9972"
"COOP:337857","SOUTH POINT OH US","168.6","38.41667","-82.58333"
"COOP:468351","SOUTHSIDE 3 NNW WV US","175.6","38.75056","-81.98056"
"COOP:468384","SPENCER WV US","287.4","38.8008","-81.3619"
"COOP:468522","STONEWALL JACKSON DAM WV US","326.1","39.0044","-80.4744"
"COOP:468589","SUGAR GROVE 4 NNE WV US","533.4","38.57","-79.2758"
"COOP:468614","SUMMERSVILLE LAKE WV US","536.4","38.2201","-80.8939"
"COOP:468662","SUTTON LAKE WV US","254.5","38.65583","-80.69611"
"COOP:468777","TERRA ALTA NUMBER 1 WV US","801.6","39.44667","-79.54694"
"COOP:468807","THOMAS WV US","917.4","39.15","-79.5"
"COOP:468893","TORNADO 2 NW WV US","335.3","38.36139","-81.84972"
"COOP:468986","TYGART DAM WV US","365.8","39.3136","-80.0297"
"COOP:469011","UNION 3 SSE WV US","643.1","37.5436","-80.5336"
"COOP:469049","UPPER TRACT WV US","469.4","38.78333","-79.28333"
"COOP:469086","VALLEY HEAD WV US","739.1","38.54528","-80.03694"
"COOP:469281","WARDENSVILLE R M FARM WV US","292.6","39.11389","-78.58111"
"COOP:469323","WAYNE 2 WV US","182.9","38.226","-82.4431"
"COOP:469336","WEBSTER SPRINGS 8 N WV US","563.9","38.53583","-80.41694"
"COOP:469333","WEBSTER SPRINGS WV US","461.5","38.4738","-80.4086"
"COOP:469355","WELCH WV US","429.8","37.42028","-81.61611"
"COOP:469368","WELLSBURG WATER TREATMENT P WV US","201.2","40.27528","-80.61194"
"COOP:469436","WESTON WV US","311.8","39.0405","-80.4713"
"COOP:469458","WEST UNION 2 WV US","240.8","39.2911","-80.7694"
"COOP:469482","WHEELING WV US","196.6","40.05667","-80.72833"
"COOP:469522","WHITE SULPHUR SPRINGS WV US","585.2","37.7889","-80.3083"
"COOP:469527","WHITESVILLE WV US","250.9","37.9875","-81.54278"
"COOP:469613","WILLIAMSON 2 NE WV US","457.2","37.68778","-82.25611"
"COOP:469610","WILLIAMSON WV US","216.4","37.66667","-82.28333"
"COOP:189570","WILLIAMSPORT MD US","109.7","39.60389","-77.83583"
"COOP:469683","WINFIELD LOCKS WV US","186.2","38.5272","-81.9161"
